               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10265,             0.03881,            0.027219,            0.045118,             0.05042,            0.017261,           0.0040028,             0.08016,            0.040216,            0.025117,             0.00144,             0.00144,             0.08704
                   1,            0.077401,            0.038785,            0.024271,            0.090734,             0.18908,            0.083842,            0.018047,            0.064015,            0.036443,            0.023764,           0.0028614,           0.0028614,            0.073961
                   2,            0.064688,            0.034395,            0.022904,             0.67005,             0.22845,             0.20018,            0.059895,            0.057753,            0.028886,            0.022912,           0.0042541,           0.0042541,            0.060854
                   3,            0.062905,            0.029992,            0.022299,             0.23582,             0.54116,             0.27972,            0.079676,            0.053921,            0.024129,            0.022067,            0.005618,            0.005618,            0.047718
                   4,            0.061585,            0.026144,            0.020822,            0.093203,             0.61545,             0.10988,             0.02237,            0.071049,            0.020015,            0.020214,           0.0069533,           0.0069533,            0.034553
                   5,            0.060569,            0.024068,            0.018835,             0.30069,             0.60049,             0.31293,             0.12198,            0.054314,            0.021688,              0.0182,           0.0082598,           0.0082598,             0.02136
                   6,            0.059121,            0.023295,            0.016413,              0.4146,             0.40239,               0.342,            0.074826,            0.057547,            0.019782,            0.017476,            0.009406,            0.009406,            0.009406
                   7,            0.054564,            0.022674,            0.013579,             0.48506,             0.51706,               0.418,             0.17244,            0.046822,            0.019852,            0.021447,            0.009406,            0.009406,            0.009406
                   8,            0.051218,            0.021765,            0.012642,             0.55336,             0.63756,             0.57341,              0.2301,            0.043342,            0.020145,             0.01457,            0.009307,            0.009307,            0.009307
                   9,            0.048401,            0.020933,             0.01108,             0.60234,             0.68129,              0.5916,             0.24107,            0.041265,            0.018755,            0.014114,            0.009208,            0.009208,            0.009208
                  10,            0.044857,              0.0205,            0.010328,             0.69474,              0.6641,             0.66499,             0.32529,             0.04001,            0.018378,            0.011546,            0.009109,            0.009109,            0.009109
                  11,            0.041879,            0.020215,           0.0089957,             0.66467,             0.70206,             0.67284,             0.34816,            0.036883,            0.018882,            0.011994,             0.00901,             0.00901,             0.00901
                  12,            0.037348,            0.019362,           0.0087045,             0.74173,             0.66654,             0.71239,              0.3696,            0.036086,            0.018682,            0.010325,            0.008911,            0.008911,            0.008911
                  13,            0.039917,            0.019371,           0.0085605,             0.66195,             0.77448,              0.6961,             0.37991,            0.034847,            0.018531,            0.012006,            0.008812,            0.008812,            0.008812
                  14,             0.03545,            0.019227,           0.0077821,             0.71942,             0.63933,             0.68103,             0.35728,            0.034558,            0.018071,            0.013746,            0.008713,            0.008713,            0.008713
                  15,            0.036552,             0.01916,           0.0073747,             0.64552,             0.69604,             0.68912,             0.38454,            0.032972,            0.018441,            0.015114,            0.008614,            0.008614,            0.008614
                  16,            0.037353,            0.019559,           0.0067226,             0.71281,             0.74387,             0.76109,             0.38962,            0.034471,            0.018413,            0.010451,            0.008515,            0.008515,            0.008515
                  17,            0.034573,            0.018418,           0.0069439,             0.71186,             0.70755,             0.72713,             0.43106,            0.030736,            0.017833,            0.012395,            0.008416,            0.008416,            0.008416
                  18,            0.034551,            0.018471,           0.0070657,             0.67687,             0.71077,             0.72184,             0.41227,             0.03154,              0.0184,            0.012215,            0.008317,            0.008317,            0.008317
                  19,            0.035738,            0.018667,           0.0053368,             0.67251,             0.79708,              0.7538,               0.409,            0.034154,            0.017924,           0.0097113,            0.008218,            0.008218,            0.008218
                  20,            0.035251,            0.018005,           0.0057508,             0.72574,             0.70351,             0.71787,             0.36933,            0.035023,            0.018419,            0.010746,            0.008119,            0.008119,            0.008119
                  21,            0.034044,            0.018687,           0.0064133,              0.7614,              0.7396,             0.73097,             0.41843,            0.031318,            0.017706,            0.010729,             0.00802,             0.00802,             0.00802
                  22,            0.032327,             0.01807,           0.0057218,             0.70397,             0.78527,             0.76025,             0.40586,            0.032436,            0.017824,           0.0099612,            0.007921,            0.007921,            0.007921
                  23,            0.033742,            0.018677,           0.0052483,             0.77598,             0.73199,              0.7516,             0.42969,            0.031335,            0.017475,            0.010126,            0.007822,            0.007822,            0.007822
                  24,            0.033449,            0.017727,           0.0049242,             0.72321,              0.7908,             0.76889,             0.44805,            0.031393,            0.017652,           0.0084615,            0.007723,            0.007723,            0.007723
                  25,            0.032612,            0.017081,           0.0046212,             0.72998,             0.79905,             0.78224,             0.44844,            0.031196,            0.017974,           0.0083077,            0.007624,            0.007624,            0.007624
                  26,             0.03149,             0.01894,           0.0042366,             0.79457,             0.75852,             0.80068,             0.44699,            0.032977,            0.017407,           0.0076565,            0.007525,            0.007525,            0.007525
                  27,            0.031669,            0.016934,           0.0037197,              0.7134,             0.78553,             0.77568,             0.43616,            0.032198,            0.017302,           0.0091228,            0.007426,            0.007426,            0.007426
                  28,            0.032415,            0.016467,           0.0041729,             0.76339,             0.75789,             0.78959,             0.45944,            0.030683,            0.017288,           0.0095567,            0.007327,            0.007327,            0.007327
                  29,             0.03123,            0.016625,           0.0033849,             0.70098,             0.75397,              0.7686,             0.40845,            0.032801,            0.017405,            0.010703,            0.007228,            0.007228,            0.007228
                  30,            0.031387,            0.016502,           0.0041017,             0.76727,             0.73776,             0.77634,             0.45261,            0.030648,            0.017386,           0.0086951,            0.007129,            0.007129,            0.007129
                  31,              0.0306,            0.016287,           0.0046215,             0.70551,             0.78518,             0.75808,             0.44507,            0.031158,            0.017675,           0.0097949,             0.00703,             0.00703,             0.00703
                  32,             0.03086,            0.016706,            0.004291,             0.71125,             0.77766,             0.75758,             0.45014,            0.030083,             0.01741,           0.0089602,            0.006931,            0.006931,            0.006931
                  33,            0.029933,            0.016144,           0.0030426,             0.68614,             0.78896,             0.75685,             0.44821,            0.030366,            0.017588,            0.011989,            0.006832,            0.006832,            0.006832
                  34,            0.029823,            0.016354,           0.0039104,             0.78443,             0.75197,             0.78605,             0.46079,            0.030286,            0.017354,           0.0092587,            0.006733,            0.006733,            0.006733
                  35,            0.029367,            0.016337,           0.0040614,             0.74054,             0.77288,             0.75309,             0.43567,            0.030415,            0.017605,           0.0094948,            0.006634,            0.006634,            0.006634
                  36,            0.028648,            0.015811,           0.0036256,             0.69258,             0.79486,             0.76501,             0.45231,             0.03027,            0.018061,           0.0094614,            0.006535,            0.006535,            0.006535
                  37,             0.02833,            0.015166,           0.0039114,             0.73541,               0.748,             0.77303,             0.45573,            0.029919,             0.01902,           0.0090033,            0.006436,            0.006436,            0.006436
                  38,            0.029131,            0.015992,           0.0039687,             0.74509,             0.76155,              0.7746,             0.45105,            0.030243,             0.01783,           0.0096541,            0.006337,            0.006337,            0.006337
                  39,            0.028256,            0.015862,           0.0033726,               0.697,             0.80741,             0.79204,             0.47039,            0.030229,            0.017927,           0.0086251,            0.006238,            0.006238,            0.006238
                  40,            0.027984,            0.016012,           0.0029377,             0.71995,             0.76017,               0.744,             0.43564,            0.030116,            0.017464,            0.011771,            0.006139,            0.006139,            0.006139
                  41,            0.029936,            0.016063,           0.0027735,             0.78547,              0.7802,             0.76229,             0.45705,            0.029652,            0.017076,           0.0089817,             0.00604,             0.00604,             0.00604
                  42,            0.028207,            0.015087,           0.0035743,             0.75305,             0.78332,              0.7797,              0.4584,            0.030924,            0.017946,           0.0093195,            0.005941,            0.005941,            0.005941
                  43,            0.028216,            0.015886,           0.0030265,              0.7139,             0.81188,             0.78896,             0.47222,            0.029823,            0.018104,           0.0082387,            0.005842,            0.005842,            0.005842
                  44,            0.027492,            0.015549,           0.0022166,             0.76949,             0.74824,             0.77555,              0.4802,            0.029555,            0.017905,           0.0099755,            0.005743,            0.005743,            0.005743
                  45,             0.02775,            0.015695,           0.0022451,             0.69903,             0.76428,             0.76094,             0.46633,            0.030125,            0.018031,            0.012208,            0.005644,            0.005644,            0.005644
                  46,             0.02735,             0.01504,           0.0028915,             0.71462,             0.79944,             0.78912,             0.47017,            0.030558,            0.017738,           0.0081572,            0.005545,            0.005545,            0.005545
                  47,            0.027277,            0.015509,           0.0027929,             0.72647,             0.74196,             0.76931,             0.46262,            0.030153,             0.01879,            0.010297,            0.005446,            0.005446,            0.005446
                  48,            0.027461,            0.014809,           0.0030091,             0.70302,             0.78345,             0.77231,             0.46332,            0.029856,            0.018883,            0.011049,            0.005347,            0.005347,            0.005347
                  49,            0.026533,            0.014112,           0.0020353,             0.75416,             0.82678,             0.81185,             0.49294,            0.029698,             0.01811,           0.0076175,            0.005248,            0.005248,            0.005248
                  50,            0.026977,            0.015215,           0.0025466,             0.74374,             0.74724,             0.77005,             0.46773,             0.03054,            0.018869,            0.012081,            0.005149,            0.005149,            0.005149
                  51,            0.026264,            0.015168,           0.0024943,             0.77616,             0.76532,              0.7821,             0.47647,             0.02985,            0.018944,           0.0093327,             0.00505,             0.00505,             0.00505
                  52,            0.026799,            0.014441,           0.0025833,              0.7594,             0.77527,             0.77765,             0.46296,            0.030226,            0.018345,           0.0087374,            0.004951,            0.004951,            0.004951
                  53,            0.025771,            0.015146,           0.0021794,             0.75474,              0.7438,             0.75608,             0.45175,            0.030724,            0.018947,            0.010209,            0.004852,            0.004852,            0.004852
                  54,            0.026358,            0.014715,           0.0019054,             0.71939,             0.78916,             0.76254,              0.4564,            0.030362,            0.019494,           0.0086281,            0.004753,            0.004753,            0.004753
                  55,            0.025716,            0.014248,           0.0026293,             0.73343,             0.81882,              0.7814,              0.4759,            0.030214,            0.019224,           0.0070648,            0.004654,            0.004654,            0.004654
                  56,            0.026533,            0.014625,           0.0020685,             0.77345,             0.74098,             0.77606,              0.4664,            0.029537,            0.019061,           0.0083715,            0.004555,            0.004555,            0.004555
                  57,            0.026176,            0.014312,           0.0023235,              0.7683,             0.71386,             0.76622,             0.47024,            0.029375,            0.019021,            0.011201,            0.004456,            0.004456,            0.004456
                  58,             0.02561,            0.014227,           0.0019998,             0.71745,             0.77109,             0.75195,             0.46374,            0.029586,            0.019734,           0.0093514,            0.004357,            0.004357,            0.004357
                  59,            0.024826,            0.014053,           0.0022468,              0.7234,             0.75425,             0.75771,             0.47216,            0.029882,            0.019371,            0.010823,            0.004258,            0.004258,            0.004258
                  60,            0.024596,            0.014433,           0.0021911,             0.72502,             0.72883,              0.7576,             0.47442,            0.029835,            0.019539,             0.01006,            0.004159,            0.004159,            0.004159
                  61,            0.024518,             0.01547,           0.0021847,             0.74312,             0.71781,             0.75027,             0.46965,            0.029876,            0.019103,            0.012018,             0.00406,             0.00406,             0.00406
                  62,            0.024554,            0.014092,           0.0022177,             0.68759,             0.78317,             0.77156,             0.47117,            0.030062,            0.019318,           0.0094053,            0.003961,            0.003961,            0.003961
                  63,            0.024525,            0.014597,           0.0021239,             0.78873,             0.67101,             0.75187,             0.45885,            0.030077,            0.019623,            0.010876,            0.003862,            0.003862,            0.003862
                  64,            0.024278,            0.013631,           0.0023299,             0.72599,             0.76059,              0.7686,             0.45943,             0.03026,            0.019392,           0.0087642,            0.003763,            0.003763,            0.003763
                  65,            0.023851,            0.013623,           0.0019035,             0.79045,              0.7208,              0.7747,             0.46813,            0.030492,            0.019932,             0.00925,            0.003664,            0.003664,            0.003664
                  66,            0.024461,            0.014486,           0.0018766,             0.72692,             0.76242,              0.7519,              0.4562,            0.029985,             0.02013,             0.00856,            0.003565,            0.003565,            0.003565
                  67,            0.023825,            0.014527,           0.0015944,             0.73952,             0.72308,             0.74615,             0.45448,            0.029765,            0.019279,             0.01127,            0.003466,            0.003466,            0.003466
                  68,            0.023313,            0.013233,           0.0021424,             0.73909,             0.75088,             0.77727,             0.47014,            0.030079,            0.019363,           0.0093127,            0.003367,            0.003367,            0.003367
                  69,            0.023979,            0.013157,           0.0015125,             0.74244,             0.76308,              0.7639,              0.4654,            0.030187,            0.020496,           0.0071702,            0.003268,            0.003268,            0.003268
                  70,            0.023442,             0.01402,           0.0015947,             0.76304,              0.7487,             0.77102,             0.46456,            0.030065,            0.020218,           0.0079862,            0.003169,            0.003169,            0.003169
                  71,             0.02283,            0.014031,           0.0015298,             0.77253,             0.71475,             0.76138,             0.46858,            0.030353,            0.020177,           0.0085631,             0.00307,             0.00307,             0.00307
                  72,            0.022938,            0.013672,           0.0016266,             0.73268,             0.73749,             0.76474,             0.46245,            0.030553,            0.020176,            0.010262,            0.002971,            0.002971,            0.002971
                  73,            0.022353,            0.013738,           0.0015632,             0.72503,             0.77686,              0.7846,             0.48524,            0.029761,             0.01989,           0.0081293,            0.002872,            0.002872,            0.002872
                  74,            0.022244,            0.012879,           0.0016939,              0.7764,             0.71326,             0.77881,             0.48663,            0.029516,            0.020139,           0.0086666,            0.002773,            0.002773,            0.002773
                  75,            0.022113,            0.012961,           0.0016507,             0.72463,             0.74317,             0.76498,             0.47173,            0.029805,            0.019752,           0.0095144,            0.002674,            0.002674,            0.002674
                  76,            0.022278,             0.01346,            0.001468,             0.71604,             0.75208,             0.76812,             0.47547,            0.029825,            0.020084,           0.0098662,            0.002575,            0.002575,            0.002575
                  77,            0.022326,            0.013195,           0.0012653,             0.66097,             0.81099,             0.75371,             0.46314,            0.030272,            0.020489,           0.0098999,            0.002476,            0.002476,            0.002476
                  78,            0.022137,            0.012994,           0.0018602,             0.67348,              0.8285,              0.7678,             0.47156,            0.030367,            0.020449,           0.0082787,            0.002377,            0.002377,            0.002377
                  79,            0.021734,            0.012629,           0.0014205,             0.71052,              0.8175,             0.77604,             0.48132,            0.030321,            0.020272,           0.0076586,            0.002278,            0.002278,            0.002278
                  80,            0.021781,            0.012735,           0.0015009,             0.70456,             0.80512,             0.78192,             0.48016,            0.030368,            0.019778,           0.0091188,            0.002179,            0.002179,            0.002179
                  81,            0.022415,            0.013265,           0.0012114,             0.68637,             0.80431,             0.77158,             0.48991,            0.029821,            0.020225,           0.0089041,             0.00208,             0.00208,             0.00208
                  82,            0.021865,            0.013322,           0.0015823,             0.71236,             0.75324,             0.76787,              0.4814,             0.02981,            0.020698,            0.010238,            0.001981,            0.001981,            0.001981
                  83,            0.021449,            0.012994,           0.0012696,             0.66457,             0.78763,              0.7581,             0.46837,            0.030273,            0.020345,            0.013146,            0.001882,            0.001882,            0.001882
                  84,            0.021427,            0.012878,           0.0014766,             0.69885,              0.8144,             0.77887,             0.48113,             0.03016,            0.020066,           0.0085144,            0.001783,            0.001783,            0.001783
                  85,            0.021611,            0.012129,           0.0016057,             0.73672,             0.75738,             0.76925,             0.47621,            0.030555,            0.020981,            0.010023,            0.001684,            0.001684,            0.001684
