               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1026,            0.038843,            0.027362,            0.020677,            0.048319,           0.0095657,           0.0020725,            0.080456,            0.040321,            0.025011,             0.00144,             0.00144,             0.08704
                   1,            0.078633,            0.038709,            0.024201,             0.60747,             0.13025,            0.072755,             0.01827,            0.066425,            0.037474,            0.023679,           0.0028328,           0.0028328,            0.073933
                   2,            0.066057,            0.035104,            0.022971,             0.66222,             0.19472,             0.15403,            0.037222,            0.059812,            0.029003,            0.023248,           0.0041681,           0.0041681,            0.060768
                   3,            0.063765,             0.03061,            0.022593,             0.17469,             0.47237,             0.21607,            0.050649,            0.055789,            0.027008,            0.022223,           0.0054461,           0.0054461,            0.047546
                   4,            0.061019,            0.026823,            0.021474,             0.10389,              0.6459,             0.14123,            0.031631,            0.070054,            0.021136,              0.0218,           0.0066666,           0.0066666,            0.034267
                   5,              0.0604,            0.024743,            0.020248,             0.19527,             0.56112,             0.26118,            0.073301,            0.054042,            0.021522,            0.021178,           0.0078297,           0.0078297,             0.02093
                   6,            0.058526,            0.024388,            0.018842,             0.45844,             0.52702,             0.48031,             0.18467,            0.053513,             0.02212,            0.017466,            0.008812,            0.008812,            0.008812
                   7,            0.055663,            0.023829,            0.017329,             0.39218,             0.67111,             0.56209,             0.24846,            0.044215,            0.020278,            0.017928,            0.008812,            0.008812,            0.008812
                   8,            0.049948,            0.022245,            0.014823,             0.56495,             0.63906,             0.59687,             0.25253,            0.043507,            0.019323,            0.013727,            0.008614,            0.008614,            0.008614
                   9,            0.047401,            0.020767,            0.012073,             0.58016,             0.67307,             0.61701,              0.2631,            0.041388,            0.019123,            0.013888,            0.008416,            0.008416,            0.008416
                  10,            0.045267,            0.020582,             0.01114,             0.68843,             0.65088,             0.66432,             0.32531,             0.04099,            0.018496,            0.012876,            0.008218,            0.008218,            0.008218
                  11,            0.042159,            0.020053,           0.0099711,             0.70243,             0.65191,             0.68666,             0.30876,            0.040603,            0.018447,            0.011499,             0.00802,             0.00802,             0.00802
                  12,            0.038446,            0.019387,            0.010597,             0.69284,             0.74433,             0.70931,             0.38428,            0.035149,            0.018293,            0.011132,            0.007822,            0.007822,            0.007822
                  13,            0.038095,            0.018988,           0.0076118,             0.69739,             0.71807,             0.71709,             0.36639,            0.036177,             0.01815,            0.010652,            0.007624,            0.007624,            0.007624
                  14,            0.035962,            0.018812,           0.0065123,              0.7433,             0.65892,             0.68365,             0.34464,            0.035418,            0.017987,            0.012069,            0.007426,            0.007426,            0.007426
